LC_X,LC_Y,LF_X_1,LF_X_2,LF_X_3,LF_X_4,LF_X_5,LF_Y_1,LF_Y_2,LF_Y_3,LF_Y_4,LF_Y_5,LD,RC_X,RC_Y,RF_X_1,RF_X_2,RF_X_3,RF_X_4,RF_X_5,RF_Y_1,RF_Y_2,RF_Y_3,RF_Y_4,RF_Y_5,RD,Gesture
23,-2,19,-3,11,-1,15,-3,18,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
17,-2,17,-2,11,3,9,1,5,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
12,-2,13,-1,6,-4,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
18,-2,12,-2,5,-2,8,-4,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
13,1,12,-1,1,0,4,1,4,0,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
13,2,5,2,6,-3,5,0,6,-2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
16,3,5,1,7,-2,10,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
18,-1,8,3,5,-1,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
10,3,12,0,7,0,4,2,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
0,0,1,-4,-1,1,-2,-2,-2,-3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
20,-1,13,-3,14,1,12,-1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
20,7,18,1,10,-1,8,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
17,4,6,3,8,-3,5,2,11,4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
11,1,5,-1,0,-1,0,-1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
-11,18,-2,14,-3,9,0,11,-2,10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-6,29,-1,19,-2,21,1,9,-2,16,0,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-10,22,-4,15,-5,13,-2,10,-3,16,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,13,1,9,0,7,-5,4,1,6,1,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-2,20,-1,15,-1,10,-2,10,-1,11,-3,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-4,25,2,16,-1,20,-1,15,1,12,1,11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-6,26,-4,19,-7,20,-2,12,-3,16,-1,22,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,16,3,12,-3,14,0,10,5,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-6,27,2,10,-4,7,0,8,-2,12,2,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-8,24,-1,14,0,13,-3,7,-1,7,1,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-5,23,-6,16,4,9,3,11,4,3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-9,16,-5,5,-6,5,-2,6,-1,9,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-3,22,-1,6,-2,6,1,6,0,5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-5,19,-7,11,-2,12,-1,9,1,7,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-6,24,0,9,1,11,1,6,2,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
2,24,2,13,1,11,0,12,1,4,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-4,21,-2,9,3,11,2,10,-2,15,-1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-18,27,-12,23,-12,20,-9,22,-14,23,-11,24,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-14,27,-9,16,-3,12,-6,11,-3,11,-3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-14,24,-2,16,0,18,-4,18,-2,12,0,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-13,22,-2,11,-7,6,2,11,-4,14,-2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-15,25,-10,13,-4,13,-2,13,-4,13,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-4,19,-2,10,1,6,-5,9,-1,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-6,17,-1,8,0,8,-2,10,-1,8,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-7,26,-3,12,-4,10,0,12,-2,11,-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-3,17,-1,5,1,5,2,9,-2,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-13,27,-5,10,-1,9,-4,10,-2,12,-3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-15,26,-1,8,-1,6,3,11,-4,10,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-9,20,-2,8,-1,8,1,10,-1,6,-1,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-11,28,0,20,-4,16,-5,16,-6,13,-1,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-2,17,-5,13,0,11,1,7,-2,7,-1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,20,-1,12,0,7,0,8,-3,12,-2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-4,20,-1,15,2,8,-1,10,0,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,18,-1,11,-4,10,-3,9,0,11,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
0,10,1,7,2,5,-4,4,-2,6,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
1,18,0,9,1,12,2,13,0,13,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
2,18,0,13,0,8,-2,10,0,13,-1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-3,16,-3,10,-2,8,-3,7,-2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,20,2,9,1,2,5,9,3,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
7,15,2,11,4,6,5,11,3,12,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-1,14,2,11,1,6,-1,13,3,11,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
4,7,2,5,2,8,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
5,11,1,6,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
8,7,3,3,1,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
4,6,4,2,0,5,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
0,12,0,12,6,7,-2,8,-2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
2,12,1,8,-1,3,-1,4,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
6,12,1,6,-2,8,0,4,2,8,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
-2,14,0,11,2,13,0,5,0,14,-1,12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
8,11,6,7,1,5,2,3,3,6,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveDown
4,-26,6,-16,-2,-5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
2,-19,2,-15,-2,-14,4,-5,5,-10,-1,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
1,-21,1,-15,4,-17,1,-5,0,-11,1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
-2,-17,3,-4,-2,-13,1,-9,-1,-9,-4,-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
-4,-10,-2,-9,1,-6,0,-2,0,-7,2,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
0,-19,3,-10,1,-12,-2,-6,2,-8,0,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
0,-29,5,-18,0,-18,-1,-12,0,-14,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
-1,-20,-1,-10,2,-5,2,-2,0,-8,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
-7,-26,-4,-14,1,-16,-2,-7,-4,-10,0,-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
0,-24,2,-10,-4,-13,-2,-11,2,-8,-1,-7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
-2,-21,0,-11,-2,-11,3,-12,-3,-6,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
0,-18,-1,-10,1,-3,1,1,0,-9,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
5,-18,-1,-13,0,-10,-3,-1,-2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
2,-21,-2,-12,3,-4,1,-11,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
3,-24,1,-8,-2,-8,-3,-7,-2,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
2,-24,-3,-12,-2,-8,-1,-6,-3,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
11,-26,2,-16,5,-13,9,-14,6,-16,7,-17,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
11,-21,9,-6,0,-14,3,-7,7,-7,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
16,-25,4,-15,4,-13,6,-9,3,-11,-1,-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
6,-26,-3,0,-2,-3,-4,-1,3,-2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
10,-20,3,-7,4,-3,7,-5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
5,-22,6,-6,2,-2,2,-4,1,-1,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
5,-17,4,-2,3,-4,3,-6,-1,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-17,1,-12,-2,-8,-1,-3,1,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
2,-17,-3,-3,-2,-12,2,-7,1,2,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
8,-19,1,1,1,-5,-5,-5,-1,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-21,4,-7,2,-5,1,-4,-2,-1,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
8,-17,-1,-8,1,-3,4,0,2,1,4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
11,-24,4,-10,3,-9,4,-10,2,-7,2,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
10,-23,5,-12,1,-12,5,-7,5,-11,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
8,-23,5,-9,0,-9,1,-8,-1,-4,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-20,0,-13,0,-13,1,-5,1,-7,1,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
1,-13,6,-5,1,-6,-1,-8,-1,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
3,-9,0,-10,-4,-3,0,-6,1,-5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
8,-16,4,-11,-1,-8,6,-9,-1,-5,0,-7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
1,-11,6,-8,0,-7,1,-3,-1,-6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
5,-13,4,-5,-1,-3,0,-6,-2,-5,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
1,-11,-3,-3,2,-4,0,-3,1,-5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
3,-17,5,-9,-6,-8,-3,-7,-1,-5,0,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
5,-17,2,-9,6,-9,4,-4,3,-6,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
3,-13,1,-7,2,-1,-1,0,4,-8,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
4,-11,0,-10,-2,-9,2,-4,-3,-8,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-7,2,-4,-1,-4,1,-6,3,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-13,4,-5,0,-5,4,-6,5,-8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-14,4,-8,2,-7,5,-11,3,-10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
3,-17,3,-7,0,-6,1,-8,-1,-11,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-11,3,-8,2,-7,4,-9,1,-11,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
12,-11,6,-3,2,-5,4,-5,-2,-4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
7,-10,5,-8,1,-4,5,-5,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
11,-16,5,-11,2,-9,5,-9,5,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveUp
19,-1,3,0,16,2,16,-4,14,-8,13,-7,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
12,-7,1,-2,5,0,5,1,3,-5,3,-5,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
13,-10,-3,-8,9,-6,7,-3,6,-7,7,-10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
13,-5,2,-6,4,-1,8,-4,7,-10,6,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
2,1,-4,-7,3,-3,10,-4,9,-2,8,-4,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
9,-11,1,-3,6,-1,5,-2,5,-1,7,-11,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
19,-6,10,-6,6,-2,13,-3,12,-7,8,-10,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
9,-7,4,-7,-1,1,8,-5,4,-6,7,-5,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
2,-5,-1,-5,-6,-5,0,-1,0,-5,-1,-1,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-9,-3,-3,-7,-2,-5,1,-1,4,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
0,0,-3,-6,-1,1,3,1,1,-1,1,-4,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
5,-8,2,-14,0,-6,5,-2,7,-2,10,-3,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
17,-5,0,-4,11,-4,9,-5,11,-13,10,-12,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
17,-10,5,-8,6,-4,9,5,6,-7,4,-8,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
0,-10,-4,-7,3,-1,5,-6,4,-7,2,-8,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
22,-5,9,-5,4,-3,14,-4,12,-5,11,-8,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
21,-9,10,-7,11,-4,12,-3,16,-12,10,-10,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
7,0,3,-2,-1,2,1,0,2,-4,2,-1,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
3,-6,1,-4,2,-3,4,0,4,-8,2,-8,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-4,-10,-1,-7,-4,-1,3,-4,1,-5,1,-3,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
8,-5,2,-6,1,-5,5,-2,0,4,3,-3,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
2,1,2,-2,-2,-1,5,0,3,1,1,-1,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
7,2,0,0,3,-3,3,0,-3,-4,-2,-3,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-6,-1,-6,-4,-6,-6,2,-4,-2,-7,-2,-6,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
5,-8,1,-8,-1,-4,4,-7,6,-4,4,-5,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
2,-10,2,-7,3,1,4,-1,0,-5,4,-1,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
11,-3,4,-5,4,-2,5,-2,2,-7,3,-3,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-1,-6,-1,-4,-2,-3,3,-5,4,-3,-2,-7,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
12,-4,4,-3,3,-3,4,-1,3,-4,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
11,-1,5,-5,1,-8,9,-3,6,2,6,-2,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
5,-6,2,-5,-4,-7,4,-1,0,-7,-4,-5,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-8,-8,-4,-7,-1,-11,-3,-4,-5,-8,-4,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-1,-6,0,-1,0,-3,-1,0,1,-3,2,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-2,-1,-4,-7,0,-6,0,-2,0,-2,-1,-1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-4,-1,-4,-6,0,-2,2,-2,-2,0,-2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
0,-1,-1,0,-2,2,-1,-2,1,3,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-11,-10,-6,-9,-6,-2,-2,-5,-2,-6,3,1,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-4,-6,-5,-5,2,-2,1,-2,-1,-5,-3,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-7,-4,-2,1,-6,-2,-7,-4,-1,1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-7,0,1,-2,0,-4,-2,0,-1,-2,-2,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-1,-3,0,-6,-2,-3,2,1,1,-1,-2,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-8,1,-2,-2,1,-6,0,-8,-5,0,-4,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
1,-5,0,-6,-2,-2,6,-4,1,1,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-3,-12,-3,-6,-2,-10,3,-3,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
0,-13,0,-10,-4,-8,2,-5,4,-10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
4,0,2,-1,-3,3,-2,1,3,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-1,-2,1,-5,1,2,0,-2,2,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-7,-6,-1,-5,-2,-5,2,-1,-3,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
-7,-3,-2,-5,0,-1,-2,-1,0,-1,0,-1,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
2,-5,-2,0,-3,-1,2,-6,-3,2,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,Press
